Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,106.489998,110.080002,102.110001,104.330002,97.763718,1158200
2015-05-01,104.919998,111.080002,103.949997,107.800003,101.015335,937500
2015-06-01,108.680000,113.940002,106.980003,110.669998,103.704681,903200
2015-07-01,111.500000,119.250000,108.209999,118.360001,111.275345,1364100
2015-08-01,118.089996,119.430000,104.629997,114.430000,107.580582,1369300
2015-09-01,112.589996,119.989998,111.220001,113.660004,106.856667,1465800
2015-10-01,113.440002,125.620003,112.150002,122.790001,115.805191,1379700
2015-11-01,122.519997,124.800003,110.760002,116.680000,110.042778,1416100
2015-12-01,116.580002,119.989998,111.419998,116.669998,110.033333,1237200
2016-01-01,115.089996,117.250000,104.370003,107.980003,102.186134,1713300
2016-02-01,107.790001,112.459999,102.940002,110.790001,104.845337,1434100
2016-03-01,111.830002,112.940002,102.900002,108.279999,102.470001,2114000
2016-04-01,107.629997,109.370003,97.730003,101.129997,96.057167,1681900
2016-05-01,101.699997,107.440002,101.370003,105.500000,100.207977,1496500
2016-06-01,105.489998,119.580002,99.519997,119.269997,113.287254,1661600
2016-07-01,119.029999,124.059998,116.830002,121.610001,115.924042,1265700
2016-08-01,121.610001,123.480003,120.199997,122.000000,116.295815,1171500
2016-09-01,122.529999,125.180000,116.809998,119.120003,113.550468,1446800
2016-10-01,119.029999,122.290001,115.580002,122.150002,116.815277,1297000
2016-11-01,121.970001,126.510002,102.809998,121.430000,116.126709,1595600
2016-12-01,121.680000,135.039993,119.750000,133.429993,127.602646,1362800
2017-01-01,134.320007,135.050003,125.209999,127.570000,122.382370,1396100
2017-02-01,128.410004,134.440002,124.570000,133.800003,128.359024,1249100
2017-03-01,133.589996,143.210007,129.770004,135.559998,130.047455,1302200
2017-04-01,136.119995,139.059998,121.199997,134.580002,129.514389,1199500
2017-05-01,134.910004,135.440002,129.350006,130.100006,125.203003,1244000
2017-06-01,130.839996,137.729996,130.059998,132.070007,127.098862,1314400
2017-07-01,132.520004,138.380005,127.000000,131.399994,126.852966,1474400
2017-08-01,131.559998,131.559998,124.099998,127.489998,123.078255,1511100
2017-09-01,126.739998,132.619995,124.489998,131.300003,126.756447,1447900
2017-10-01,131.679993,133.740005,129.000000,133.169998,128.993225,1142000
2017-11-01,133.460007,152.210007,127.000000,151.110001,146.370560,1315200
2017-12-01,151.119995,157.330002,144.589996,151.830002,147.067978,1180200
2018-01-01,152.389999,153.990005,137.059998,138.440002,134.503906,1766000
2018-02-01,138.399994,144.610001,128.529999,134.330002,130.510757,1664300
2018-03-01,134.600006,143.570007,130.279999,136.559998,132.677368,1413400
2018-04-01,136.570007,144.360001,133.149994,137.410004,133.930634,1250200
2018-05-01,135.500000,144.169998,125.980003,141.619995,138.033997,1588100
2018-06-01,142.070007,158.410004,140.720001,152.470001,148.609268,1553000
2018-07-01,152.179993,159.050003,141.039993,144.960007,141.718323,1554900
2018-08-01,144.550003,147.949997,139.899994,145.500000,142.246246,1330000
2018-09-01,145.050003,152.529999,143.589996,150.889999,147.515717,1322100
2018-10-01,151.000000,161.820007,140.029999,156.160004,153.127792,1361600
2018-11-01,156.860001,162.800003,148.729996,156.869995,153.823990,1390900
2018-12-01,156.610001,159.860001,138.649994,144.589996,141.782440,1350900
2019-01-01,143.419998,162.839996,138.399994,154.350006,151.846771,2130700
2019-02-01,154.850006,161.610001,149.240005,155.279999,152.761688,1411900
2019-03-01,155.649994,160.710007,149.710007,158.839996,156.263962,1321700
2019-04-01,159.190002,159.990005,150.610001,157.179993,155.141754,1443400
2019-05-01,158.320007,167.500000,156.119995,160.850006,158.764160,1526400
2019-06-01,160.820007,166.320007,156.949997,160.949997,158.862854,1433100
2019-07-01,161.550003,191.369995,159.630005,185.839996,183.989456,1657700
2019-08-01,185.839996,196.740005,180.020004,193.059998,191.137573,2023000
2019-09-01,193.169998,196.839996,186.649994,192.000000,190.088135,2417800
2019-10-01,191.869995,195.720001,187.759995,190.759995,189.351059,1753400
2019-11-01,190.929993,191.690002,179.460007,185.000000,183.633606,1695900
2019-12-01,185.300003,189.800003,180.339996,184.270004,182.908981,1956200
2020-01-01,185.300003,189.169998,163.800003,165.839996,165.133636,2257700
2020-02-01,165.839996,176.009995,158.869995,160.820007,160.135025,1879600
2020-03-01,160.720001,168.080002,105.669998,121.000000,120.484627,3966600
2020-04-01,115.540001,119.559998,110.730003,113.730003,113.730003,276800
