Company,Revenue USD Mil,Earnings Per Share USD,Dividends USD,Shares Mil,Operating Cash Flow USD Mil,Working Capital USD Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
GLMD,2.0,-0.54,,18.0,-9.0,88.0,-19.01,-17.88,,4.42,97.01,9.49,,,5.95,33.41,,407.9,6.04
GLNG,144.0,-1.79,0.2,101.0,47.0,-1159.0,-10.04,-3.98,-1.0,273.03,36.63,23.58,88.74,26.42,0.05,0.29,0.6,,27.02
GLPG,,,,52.0,,,-2.63,-2.15,-36.45,4.75,84.35,34.32,65.09,1163.52,14.5,6.04,,,128.929993
GLPI,1056.0,1.58,2.57,215.0,654.0,235.0,14.35,4.29,2.39,0.41,26.41,455.96,3.55,,1.39,2.71,2.58,,38.98
GLRE,246.0,-9.74,,36.0,-59.0,,-53.5,-14.61,-140.32,,33.26,,,,,,0.19,,10.37
GLUU,367.0,-0.09,,141.0,32.0,41.0,-7.97,-4.3,,0.92,56.39,30.87,41.82,,25.71,1.32,,25.9,7.46
GLYC,,-1.18,,41.0,-43.0,204.0,-29.69,-28.11,,,95.64,,,,,24.22,,,9.47
GMAB,,,,620.0,,,20.61,19.55,,15.78,94.72,114.98,,,22.0,16.77,,47.31,18.290001
GMDA,,-10.53,,5.0,-26.0,55.0,-222.38,-96.16,-776.37,,37.88,,,,,9.28,,,5.12
GMHI,,,,,,,,,,,,,,,,,,,10.075
GMHIU,,,,,,,,,,,,,,,,,,,10.54
GMLP,433.0,1.8,2.31,69.0,271.0,131.0,19.07,5.33,2.95,0.1,,16.31,6.92,78.76,0.25,1.73,1.79,,16.41
GMLPP,433.0,,,,271.0,131.0,19.07,5.33,2.95,0.1,,16.31,6.92,78.76,0.25,1.73,1.79,,25.51
GNCA,,-2.69,,10.0,-41.0,16.0,,-114.44,,,23.57,,,,,2.52,1.44,,3.36
GNFT,,,,31.0,,,-47.45,-25.51,-40.85,,35.55,219.62,2652.27,247.67,0.03,10.46,1.54,,
GNLN,88.0,0.24,,10.0,3.0,4.0,24.39,7.75,10.17,1.0,31.77,15.55,83.58,4.78,147.72,1.19,0.07,,
GNMK,71.0,-0.91,,56.0,-33.0,48.0,-97.15,-47.08,-15.2,3.64,36.08,57.28,74.94,4.84,3.24,3.37,1.07,39.47,6.26
GNPX,,-0.9,,14.0,-7.0,8.0,-265.79,-235.03,-324.74,,95.82,,,,,22.81,,,1.1
GNSS,26.0,-0.12,,32.0,1.0,21.0,-10.91,-9.28,,2.38,80.0,58.74,56.44,2.26,17.78,4.21,,13.39,3.29
GNTX,1834.0,1.62,0.33,270.0,552.0,682.0,22.39,19.74,,4.69,89.27,44.25,29.16,5.17,3.7,5.03,,5.84,24.610001
GNTY,83.0,1.77,0.6,12.0,28.0,,9.11,0.97,,3.41,10.79,,,,1.73,,0.52,,30.59
GNUS,1.0,-1.07,,9.0,-8.0,1.0,-67.13,-35.77,-7.83,4.33,52.19,928.47,246.18,92.01,11.67,1.21,0.17,,1.39
GO,2288.0,0.21,,74.0,106.0,89.0,4.66,1.26,1.41,2.97,21.79,0.76,22.2,8.35,7.86,1.59,2.83,,33.130001
GOGL,656.0,0.59,0.45,144.0,187.0,-80.0,5.6,2.9,2.16,24.12,51.62,14.19,4.82,20.64,0.28,0.85,0.57,,5.81
GOGO,894.0,-2.02,,80.0,-82.0,286.0,,-12.15,-0.65,14.73,-21.24,51.5,18.11,4.31,1.53,1.95,,13.44,4.59
GOOD,107.0,0.03,1.5,29.0,56.0,-36.0,0.38,0.1,1.47,,26.74,,159.96,,,0.35,2.06,,21.26
GOODM,107.0,,,,56.0,-36.0,0.38,0.1,1.47,,26.74,,159.96,,,0.35,2.06,,25.513
GOODN,107.0,,,,56.0,-36.0,0.38,0.1,1.47,,26.74,,159.96,,,0.35,2.06,,26.002000000000002
GOOG,136819.0,43.7,,703.0,47971.0,101056.0,18.62,14.29,307.25,19.46,76.3,52.25,23.03,64.17,2.68,3.92,0.02,15.65,1188.099976
GOOGL,136819.0,43.7,,703.0,47971.0,101056.0,18.62,14.29,307.25,19.46,76.3,52.25,23.03,64.17,2.68,3.92,0.02,15.65,1190.530029
GOSS,,-2.43,,60.0,-51.0,212.0,,-122.54,,,-50.15,,,,,11.37,,,20.575001
GPAQ,,-0.12,,4.0,,,-0.79,-0.76,,,96.08,,,,,0.16,,,10.33
GPAQU,,,,,,,-0.79,-0.76,,,96.08,,,,,0.16,,,10.6
GPOR,1355.0,2.45,,175.0,752.0,-222.0,13.39,7.26,4.33,64.44,55.0,55.88,,,0.26,0.59,0.63,,4.91
GPP,101.0,1.81,1.9,31.0,55.0,8.0,,62.93,8.63,1.25,,64.0,457.56,,2.26,2.03,,,14.0
GPRE,3843.0,0.39,0.48,41.0,39.0,373.0,1.69,0.64,1.2,1.15,45.08,11.94,18.23,5.01,3.73,1.45,0.31,,13.11
GPRO,1148.0,-0.78,,139.0,-42.0,175.0,-42.69,-14.08,-4.76,0.96,30.37,38.48,66.5,5.89,19.94,1.58,0.66,14.57,5.185
GRBK,624.0,1.02,,51.0,-39.0,645.0,11.67,7.39,,0.51,61.08,1.89,17.92,0.85,227.03,8.39,0.43,,8.94
GRFS,,,,684.0,,,18.03,6.3,3.79,7.48,33.25,30.28,74.5,1.32,2.42,3.01,1.62,6.68,21.370001000000002
GRIF,33.0,-0.33,0.45,5.0,8.0,27.0,-1.76,-0.65,0.82,,35.99,8.12,15.32,,136.29,6.85,1.53,,35.990002000000004
GRIL,8.0,-1.82,,7.0,-4.0,-4.0,,-211.34,-2.98,12.22,-72.54,8.18,45.75,90.8,9.98,0.08,,,
GRIN,410.0,-3.19,,19.0,3.0,24.0,-17.81,-11.08,-8.71,0.3,63.05,14.37,31.45,37.44,1.51,1.15,0.07,,7.55
GRMN,3347.0,3.66,2.1,190.0,920.0,1744.0,17.43,13.36,,4.79,77.34,63.28,49.99,2.53,5.32,2.89,,16.96,83.970001
GRNQ,4.0,-0.15,,54.0,-1.0,-1.0,-176.95,-81.12,-56.56,0.33,45.75,23.12,117.91,,1.34,0.85,0.36,,1.15
GROW,6.0,0.04,0.03,15.0,,15.0,2.62,2.38,,,89.89,50.6,42.44,,2.99,9.66,,,1.31
GRPN,2637.0,-0.02,,567.0,191.0,41.0,-3.5,-0.67,1.05,3.34,23.24,11.61,206.95,44.41,17.92,1.04,0.56,,3.2
GRTS,1.0,-7.26,,9.0,-38.0,143.0,-144.8,-42.22,,477.09,78.67,188.5,,,0.04,10.43,0.07,,10.5
GRTX,,-1.53,,19.0,-22.0,77.0,,-44.28,-107.63,,-119.04,,,,,13.01,,,12.844999999999999
GRVY,,,,7.0,,,35.42,15.57,,1.46,38.27,69.57,105.44,,184.05,1.68,,3.7,35.154999
GRWG,29.0,-0.22,,23.0,-2.0,22.0,-26.96,-22.48,-4.01,2.37,83.74,9.54,23.36,3.35,18.83,7.31,0.08,,3.3
GSBC,197.0,4.71,1.2,14.0,94.0,,13.37,1.48,,4.81,11.38,,,,1.46,,0.19,,56.950001
GSHD,60.0,-0.66,,14.0,10.0,,-42.95,-34.57,-3.27,3.73,57.92,,,,8.34,,0.56,,40.52
GSIT,43.0,-0.21,,21.0,1.0,64.0,-5.21,-4.47,,3.1,87.22,49.76,31.31,2.74,5.38,9.62,,39.86,7.33
GSKY,415.0,0.41,,189.0,256.0,181.0,,3.83,6.66,1.59,2.96,14.86,13.88,,45.87,1.62,15.12,,11.0
GSM,1742.0,,,172.0,150.0,241.0,-0.09,-0.03,0.64,4.33,43.44,24.9,71.92,3.08,2.05,1.54,0.5,,8.57
GSMG,,,,,,,,,,,,,,,,,,,10.16
GSUM,,,,30.0,,,-35.51,-18.18,,4.89,38.31,393.19,424.82,,8.78,1.54,,54.93,6.5
GT,15475.0,2.89,0.58,239.0,916.0,1144.0,14.64,4.08,4.15,5.24,29.19,47.82,87.38,4.24,2.1,1.24,1.05,,15.87
GTHX,,-2.56,,33.0,-74.0,358.0,-37.72,-35.8,,,96.65,,,,,29.94,,,21.4
GTIM,99.0,-0.08,,12.0,7.0,-2.0,-3.02,-1.78,0.96,10.52,58.88,4.24,19.61,71.26,3.12,0.77,0.22,,2.42
GTLS,1084.0,2.73,,32.0,88.0,295.0,10.43,4.86,,3.28,46.72,70.27,55.42,3.57,3.29,1.8,0.6,,74.699997
GTYH,,0.06,,69.0,-1.0,,0.72,0.69,,,96.5,,,,,3.7,,,10.05
GURE,108.0,0.85,,9.0,63.0,238.0,0.7,0.68,71.37,26.43,97.18,138.5,27.46,17.84,0.96,65.88,0.01,0.18,6.9
GVP,71.0,0.33,,20.0,8.0,12.0,21.2,9.74,,0.41,52.19,55.3,7.58,69.32,61.77,1.46,,1.96,3.25
GWGH,,-22.32,,6.0,-95.0,294.0,,-11.84,-0.49,,18.98,,,,,10.04,17.93,,9.98
GWPH,13.0,-10.56,,28.0,-232.0,332.0,-74.93,-63.03,-232.28,262.26,84.63,50.04,534.16,0.48,0.18,6.66,0.01,,142.580002
GWRS,36.0,0.15,0.28,21.0,11.0,8.0,14.52,1.24,1.93,13.48,10.62,15.5,20.51,,0.16,1.81,4.11,,10.44
GXGX,,,,,,,,,,,,,,,,,,,9.93
GXGXU,,,,,,,,,,,,,,,,,,,10.184999999999999
GYRO,5.0,343.69,,,-8.0,13.0,124.27,49.66,,,28.95,8.65,159.46,,,3.32,1.72,,
HA,2837.0,4.62,0.48,50.0,509.0,-301.0,24.37,7.7,12.99,17.16,29.66,16.22,23.49,63.67,1.41,0.7,0.64,,27.43
HAFC,206.0,1.79,0.96,32.0,77.0,,10.32,1.07,,1.8,10.04,,,,7.56,,0.31,,20.620001000000002
HAIN,2458.0,0.09,,104.0,107.0,629.0,0.56,0.33,4.02,2.88,58.95,37.21,42.48,4.74,7.22,2.49,0.4,,21.9
HALL,386.0,-0.63,,18.0,7.0,,-4.47,-0.97,-2.67,0.7,20.4,,,,56.39,,0.34,,10.43
HALO,152.0,-0.56,,144.0,-50.0,278.0,-35.14,-16.73,-3.42,3.07,56.53,62.66,216.55,0.73,27.65,2.86,0.14,98.94,16.18
HAPP,61.0,0.7,,25.0,13.0,35.0,51.54,36.85,153.77,0.26,83.44,166.12,65.07,10.72,6.49,4.95,,3.02,
HARP,5.0,-1.14,,24.0,-27.0,78.0,,-40.71,,13.96,-52.13,,,,1.87,7.55,,555.12,13.66
HAS,4580.0,1.74,2.46,127.0,646.0,1808.0,12.3,4.18,3.98,3.07,33.34,103.35,56.51,5.02,17.74,2.42,0.97,5.38,101.699997
HAYN,435.0,-1.75,0.88,12.0,-14.0,304.0,-6.55,-3.61,-3.42,2.55,56.6,56.61,32.93,1.5,2.34,5.89,0.03,0.87,32.310001
HBAN,4510.0,1.2,0.5,1106.0,1726.0,,13.47,1.24,,2.44,10.21,,,,5.45,,0.87,,13.92
HBANN,4510.0,,,,1726.0,,13.47,1.24,,2.44,10.21,,,,5.45,,0.87,,26.459999
HBANO,4510.0,,,,1726.0,,13.47,1.24,,2.44,10.21,,,,5.45,,0.87,,26.08
HBCP,106.0,3.4,0.71,9.0,47.0,,10.86,1.44,,4.75,14.12,,,,2.28,,0.21,,37.279999
HBIO,121.0,-0.08,,36.0,3.0,36.0,-3.57,-2.1,,0.83,49.06,56.97,40.44,2.48,24.06,2.69,0.71,9.1,3.05
HBMD,81.0,-0.22,,18.0,55.0,,-1.79,-0.22,,2.39,13.0,,,,2.53,,0.48,,14.89
HBNC,169.0,1.38,0.4,38.0,72.0,,11.19,1.29,,2.03,11.59,,,,2.26,,0.8,,16.34
HBP,840.0,-0.26,,25.0,-27.0,142.0,-9.96,-2.44,,0.93,22.3,29.52,27.79,5.47,26.74,2.86,2.21,,2.4
HBT,159.0,2.42,,26.0,80.0,,19.21,1.94,,1.04,10.48,,,,2.87,,0.11,,17.799999
HCAC,,,,,,,,,,,,,,,,,,,10.01
HCACU,,,,,,,,,,,,,,,,,,,10.504999999999999
HCAP,9.0,0.79,1.16,6.0,26.0,,6.33,4.0,,,62.56,,,,,,0.57,,10.05
HCAT,113.0,-4.11,,28.0,-40.0,25.0,,-56.03,-23.01,2.22,-337.7,72.55,8.07,,13.73,1.6,,34.28,37.2150005
HCCH,,,,,,,,,,,,,,,,,,,9.84
HCCI,410.0,0.63,,23.0,30.0,85.0,6.03,4.45,,5.56,73.04,40.36,32.86,11.82,2.6,2.7,0.11,,26.5
HCKT,286.0,0.74,0.34,32.0,32.0,29.0,20.71,13.07,52.62,3.37,68.38,51.56,15.54,,14.81,1.65,0.05,,16.139999
HCM,214.0,-0.55,,133.0,-33.0,285.0,-17.59,-13.24,-84.88,2.97,76.44,66.98,63.38,11.95,12.87,4.33,0.07,2.4,23.09
HCSG,2009.0,1.12,0.77,75.0,80.0,345.0,19.87,12.21,,0.25,63.64,65.46,14.0,42.27,152.13,3.11,,,30.32
HDS,6047.0,2.17,,182.0,584.0,840.0,28.69,9.22,5.05,1.9,30.26,36.13,36.98,5.1,17.4,2.12,1.66,,40.509997999999996
HDSN,167.0,-1.31,,42.0,36.0,63.0,-57.78,-20.25,-2.89,0.66,30.31,31.66,20.52,1.27,5.76,2.05,1.42,,0.89
HEAR,287.0,2.74,,14.0,42.0,40.0,510.99,36.26,8.67,1.77,30.75,65.61,31.84,4.64,54.58,1.55,,1.95,10.88
HEBT,29.0,0.49,,15.0,-6.0,25.0,19.91,14.04,74.7,10.71,74.31,196.49,23.96,9.78,2.09,2.93,0.02,1.74,1.65
HEES,1239.0,2.13,1.1,36.0,247.0,134.0,32.36,4.8,2.64,36.45,14.87,54.08,43.69,8.91,1.09,1.68,4.35,,28.860001
HELE,1490.0,1.63,,27.0,224.0,258.0,4.37,2.59,12.88,0.91,62.57,61.63,50.71,3.21,11.53,1.87,0.28,,114.550003
HEPA,,-168.7,,,-19.0,10.0,,-94.57,,,49.27,,,,,4.48,,,140.0
HFBL,18.0,1.87,0.48,2.0,13.0,,7.65,0.84,,2.92,11.16,,,,1.44,,0.14,,31.950001
HFFG,291.0,0.3,,21.0,12.0,25.0,21.25,7.71,7.44,1.06,40.99,20.69,32.31,10.77,13.12,1.76,0.4,,17.049999
HFWA,219.0,1.49,0.62,35.0,82.0,,8.31,1.12,,10.64,14.31,,,,3.09,,0.03,,28.52
HGSH,64.0,0.12,,45.0,2.0,10.0,3.24,1.4,21.64,,43.89,71.75,167.16,0.41,83.2,1.08,0.41,,1.0
HHHH,,,,,,,,,,,,,,,,,,,10.115
HHHHU,,,,,,,,,,,,,,,,,,,10.28
HHR,,,,50.0,,,38.65,7.44,3.39,4.16,22.34,1.73,139.26,,58.12,0.73,1.75,,18.1949995
HHT,46.0,-2.51,,3.0,2.0,7.0,-70.97,-11.06,-4.44,0.3,18.17,362.58,184.37,74.05,14.31,1.16,,2.58,2.92
HIBB,968.0,1.71,,20.0,112.0,231.0,10.72,7.61,210.06,2.38,69.2,2.12,47.46,2.46,8.75,3.0,0.01,,22.6
HIFS,64.0,13.9,1.42,2.0,36.0,,15.25,1.3,,1.75,8.83,,,,4.48,,2.86,,189.990005
HIHO,19.0,0.41,0.32,4.0,2.0,11.0,13.47,8.69,,1.41,64.94,53.57,48.34,4.78,22.23,2.72,,,3.76
HIMX,724.0,0.04,0.1,173.0,4.0,263.0,1.9,1.05,6.7,6.99,53.1,95.05,95.56,3.73,7.32,1.67,,17.0,3.19
HJLI,,-1.75,,9.0,-6.0,1.0,,-566.39,-0.9,6.66,57.21,65.74,,,7.46,1.86,,664.02,1.12
HLG,,,,26.0,,,18.37,13.56,,7.64,70.61,32.69,10.2,,1.67,2.05,,,58.299999
HLIO,508.0,1.49,0.36,31.0,77.0,104.0,11.63,6.22,,5.59,50.93,39.63,32.61,4.95,4.64,2.11,0.65,,44.779999
HLIT,404.0,-0.25,,86.0,12.0,60.0,-9.42,-4.13,,1.75,44.68,68.58,62.81,7.53,15.65,1.44,0.56,22.09,5.66
HLNE,244.0,0.93,0.7,19.0,97.0,10.0,25.05,6.49,24.31,0.92,33.21,20.22,6.75,,55.18,1.17,1.07,,43.580002
HMHC,1322.0,-0.76,,123.0,115.0,219.0,-12.04,-3.72,-1.89,4.06,30.8,55.84,34.67,4.28,9.45,1.45,0.98,,6.25
HMNF,36.0,1.71,,5.0,18.0,,10.05,1.15,,6.96,11.67,,,,4.02,,,,21.01
HMST,439.0,1.47,,27.0,-3.0,,5.54,0.58,,,10.5,,,,4.4,,1.43,,28.139999
HMSY,598.0,0.64,,86.0,96.0,329.0,8.33,5.36,5.69,5.08,66.15,120.86,14.42,,6.2,4.4,0.34,,30.43
HMTV,147.0,-0.28,,39.0,37.0,105.0,-4.63,-2.18,,7.23,46.4,63.09,25.88,,5.19,3.63,0.88,,13.26
HNNA,55.0,2.61,0.38,8.0,22.0,19.0,33.65,19.88,20.07,0.66,64.83,28.7,,,171.67,2.55,0.25,,10.01
HNRG,292.0,0.25,0.16,30.0,52.0,33.0,2.95,1.44,1.22,12.03,49.44,22.01,6.93,9.79,0.7,1.64,0.61,,5.16
HOFT,621.0,2.42,0.5,12.0,28.0,153.0,13.19,8.43,,0.51,65.61,54.41,26.01,6.08,22.55,3.55,0.2,,37.150002
HOLI,541.0,1.75,0.12,61.0,125.0,668.0,13.69,9.45,188.34,0.43,69.6,176.09,137.43,6.46,5.97,3.01,0.02,6.77,20.93
HOLX,3218.0,-0.4,,275.0,732.0,321.0,-4.27,-1.46,-1.82,3.28,33.59,63.11,43.05,4.25,6.64,1.23,1.12,6.8,46.380001
HOMB,655.0,1.73,0.46,174.0,302.0,,13.19,2.02,,1.21,15.36,,,,2.78,,0.78,,18.799999
HONE,137.0,0.2,,57.0,61.0,,3.25,0.36,,4.05,9.79,,,,3.36,,0.74,,10.065
HOOK,8.0,-0.99,,16.0,-15.0,48.0,,-22.87,-19.84,28.18,65.05,117.67,,,1.93,4.24,0.1,287.91,8.44
HOPE,545.0,1.44,0.54,132.0,220.0,,9.9,1.28,,1.26,12.43,,,,9.87,,0.59,,14.27
HOTH,,-0.26,,9.0,-2.0,,-372.76,-287.2,,,30.75,,,,,1.44,,,5.69
HOVNP,1991.0,,,,-67.0,1207.0,,0.24,1.08,0.26,-27.29,8.55,28.12,1.6,54.4,9.26,,,3.35
HQI,97.0,0.2,,5.0,3.0,14.0,5.06,3.99,558.35,0.16,80.62,34.55,5.13,,277.7,4.82,,,5.8
HQY,287.0,1.17,,63.0,113.0,366.0,17.95,16.81,,5.24,93.54,30.03,10.22,,35.77,13.58,,12.2,65.400002
HROW,41.0,0.61,,24.0,1.0,21.0,106.88,39.87,,5.32,50.05,15.19,111.96,8.09,6.57,2.76,0.48,1.99,5.96
HRTX,77.0,-2.44,,73.0,-192.0,355.0,-71.35,-51.35,-65.93,11.84,80.09,250.94,238.83,1.12,7.5,4.86,,180.75,21.68
HRZN,15.0,1.13,1.2,12.0,-12.0,,9.66,5.19,,,50.33,,,,,,0.94,,11.86
HSDT,,-1.26,,23.0,-20.0,9.0,,-165.28,,92.05,35.41,373.78,,,1.31,1.5,,,2.23
HSIC,13202.0,3.49,,154.0,685.0,956.0,18.57,6.57,9.83,0.69,37.39,42.49,45.22,4.92,34.86,1.3,0.34,,63.5
HSII,736.0,2.52,0.52,20.0,103.0,132.0,20.55,7.66,,0.81,38.13,53.01,,,20.05,1.41,,,31.02
HSKA,127.0,0.74,,8.0,13.0,42.0,5.25,4.0,13.28,3.22,78.24,46.06,43.71,2.45,7.65,3.06,0.05,2.62,81.790001
HSON,67.0,2.39,,3.0,-16.0,42.0,18.81,9.55,,0.69,76.13,222.96,61.88,,20.85,4.93,,,12.45
HSTM,232.0,1.0,,32.0,43.0,135.0,10.41,7.55,,7.97,72.17,62.23,25.34,,18.64,2.26,,11.11,26.18
HTBI,120.0,0.44,,19.0,31.0,,2.03,0.25,,2.88,12.39,,,,1.9,,1.56,,27.0
HTBK,132.0,0.84,0.44,42.0,49.0,,11.06,1.19,,0.14,11.87,,,,18.16,,0.11,,12.25
HTBX,6.0,-0.9,,17.0,-22.0,24.0,-83.56,-54.3,,10.24,80.11,1.37,,,12.46,5.89,,280.18,0.71
HTGM,22.0,-1.2,,55.0,-13.0,31.0,-182.49,-50.61,-17.24,4.42,48.19,96.49,153.76,4.09,7.57,5.42,0.46,58.58,1.66
HTHT,,,,293.0,,,20.9,9.02,19.42,10.13,37.02,6.8,43.46,248.8,1.92,1.56,0.76,,34.915001000000004
HTLD,611.0,0.88,0.08,82.0,147.0,168.0,12.21,9.11,,27.71,76.4,33.84,9.07,,1.44,3.59,,,20.01
HTLF,523.0,3.52,0.54,33.0,243.0,,10.1,1.1,,2.44,11.62,,,,2.91,,0.2,,44.900002
HUBG,3684.0,6.01,,34.0,211.0,62.0,23.05,11.22,13.14,5.42,50.96,52.57,32.11,,5.92,1.12,0.24,,43.060001
HUGE,,,,6.0,,,-71.59,-68.35,,,96.7,,,,0.01,12.94,,,25.125
HUIZ,,,,44.0,,,,-45.67,,1.0,-233.94,97.98,33.84,,31.45,0.86,,19.03,
HURC,301.0,3.15,0.43,7.0,21.0,195.0,10.03,7.15,325.96,1.95,70.66,63.43,86.73,1.62,23.92,3.24,,,35.700001
HURN,878.0,0.62,,22.0,102.0,-185.0,2.61,1.31,,1.71,51.51,43.95,5.8,,20.44,0.56,0.1,,51.310001
HVBC,11.0,0.38,,2.0,1.0,,2.48,0.3,,2.58,10.32,,,,5.77,,0.72,,15.35
HWBK,54.0,1.71,0.35,6.0,16.0,,11.23,0.74,,4.29,6.71,,,,1.55,,1.45,,23.83
HWC,1109.0,3.72,1.02,86.0,449.0,,10.65,1.14,,4.57,10.91,,,,3.23,,0.07,,40.400002
HWCC,357.0,0.52,,17.0,5.0,126.0,9.02,4.35,4.78,0.42,49.58,56.43,13.24,2.98,31.29,5.14,0.71,,5.06
HWKN,504.0,-0.87,0.88,11.0,27.0,74.0,-4.37,-2.27,,3.91,51.73,43.73,27.62,7.52,4.11,2.23,0.45,,37.299999
HX,107.0,1.37,,48.0,88.0,139.0,80.08,68.11,,0.43,85.45,10.81,,,179.51,6.84,,,7.88
HYRE,3.0,-0.41,,10.0,-3.0,-1.0,,-716.71,-20.1,,-196.83,2.32,87.79,,,0.29,,21.31,2.55
HZNP,1208.0,-0.23,,166.0,195.0,787.0,-7.25,-1.79,,1.39,25.42,125.75,28.07,6.58,59.62,2.03,1.8,6.85,26.43
IAC,4263.0,6.59,,91.0,988.0,1879.0,23.78,9.84,7.97,2.01,46.11,24.97,30.34,,13.45,3.13,0.79,7.26,220.850006
IART,1472.0,0.72,,84.0,200.0,513.0,5.2,1.92,1.89,5.28,44.27,64.15,54.29,1.98,5.17,2.95,0.96,5.3,55.849998
IBCP,153.0,1.68,0.6,24.0,45.0,,13.19,1.3,,2.52,10.11,,,,3.93,,0.16,,21.74
IBKC,1147.0,6.46,1.56,55.0,446.0,,9.55,1.22,,1.2,13.16,,,,3.63,,0.3,,73.889999
IBKCN,1147.0,,,,446.0,,9.55,1.22,,1.2,13.16,,,,3.63,,0.3,,26.58
IBKCO,1147.0,,,,446.0,,9.55,1.22,,1.2,13.16,,,,3.63,,0.3,,27.299999
IBKCP,1147.0,,,,446.0,,9.55,1.22,,1.2,13.16,,,,3.63,,0.3,,27.615999
IBKR,1903.0,2.28,0.4,414.0,2356.0,,14.25,0.28,,1.89,2.34,,,,111.94,,,,51.259997999999996
IBOC,578.0,3.24,0.75,67.0,230.0,,11.43,1.8,,3.7,16.34,,,,1.13,,0.08,,38.029999
IBTX,368.0,4.33,0.54,29.0,159.0,,8.64,1.37,,10.35,16.31,,,,2.33,,0.28,,53.470001
ICAD,26.0,-0.54,,17.0,-4.0,8.0,-85.18,-28.24,-27.77,1.23,21.73,106.86,217.2,3.34,45.43,1.6,1.63,36.86,6.24
ICBK,51.0,2.04,0.28,7.0,26.0,,9.98,0.95,,15.1,10.01,,,,3.95,,0.94,,17.860001
ICCC,11.0,-0.42,,5.0,,4.0,-10.24,-6.93,-3.35,18.48,66.43,37.81,57.52,2.64,0.42,2.5,0.39,32.01,6.17
ICCH,51.0,0.29,,3.0,6.0,,1.46,0.59,8.09,0.97,38.99,,,,14.97,,0.06,,13.76
ICFI,1338.0,3.18,0.56,19.0,75.0,114.0,9.62,5.28,10.51,1.63,54.41,71.27,37.81,,31.06,1.41,0.3,,77.870003
ICHR,824.0,2.3,,25.0,60.0,124.0,27.89,11.1,,1.69,40.85,19.84,49.3,4.99,21.64,2.41,0.97,1.14,23.639999
ICLK,125.0,-0.57,,52.0,-14.0,62.0,-107.53,-16.7,-42.68,0.13,63.54,104.16,24.96,,71.93,1.94,,4.61,6.35
ICLR,2596.0,5.89,,55.0,269.0,720.0,25.35,14.34,28.0,1.86,57.52,55.84,3.2,,16.14,2.18,0.26,,146.899994
ICMB,22.0,1.14,1.0,14.0,-8.0,,9.15,5.12,,,54.53,,,,,,0.69,,7.95
ICON,188.0,-14.93,,7.0,56.0,39.0,,-14.1,-0.4,1.75,-28.55,101.41,,,34.2,1.34,,,1.5
ICPT,180.0,-10.86,,28.0,-241.0,368.0,,-62.25,-9.13,0.09,3.76,42.83,1356.98,,13.52,4.22,19.41,115.29,86.18
ICUI,1400.0,1.33,,22.0,160.0,678.0,2.34,1.87,32.56,7.2,79.71,37.67,43.69,2.77,3.37,3.72,,3.78,227.5
IDCC,307.0,1.84,1.4,35.0,147.0,845.0,7.17,3.67,1.89,12.0,57.38,149.21,43.58,,29.67,5.71,0.34,22.67,64.400002
IDEX,378.0,-0.35,,78.0,-20.0,15.0,-72.5,-34.88,,1.87,47.77,22.38,22.46,3461.03,49.89,1.51,0.26,0.44,1.5
IDN,4.0,-0.26,,16.0,-4.0,4.0,-27.4,-24.51,,3.19,89.34,68.83,68.4,4.61,18.62,3.82,,65.51,4.85
IDRA,1.0,-2.25,,27.0,-52.0,64.0,-69.76,-62.56,,11.33,87.64,,,,0.79,8.07,,,2.64
IDXG,16.0,-7.7,,2.0,-15.0,12.0,-52.66,-25.62,-29.33,0.18,74.39,64.82,67.39,,20.08,2.45,,9.19,10.2
IDXX,2213.0,4.26,,88.0,400.0,-116.0,,23.2,14.17,5.55,-0.62,39.86,25.64,5.76,5.42,0.85,,5.33,251.580002
IDYA,,-2.41,,14.0,-28.0,85.0,,-60.37,,,-50.7,,,,,16.75,,,7.575
IEA,779.0,-2.01,,22.0,47.0,-8.0,-178.13,-11.04,,0.54,-15.05,75.59,38.58,,4.42,0.98,,,3.75
IEC,117.0,1.01,,10.0,,21.0,51.78,14.42,2.37,3.36,28.06,67.2,74.12,4.13,6.17,1.51,0.91,,6.28
IEP,11693.0,11.33,7.0,180.0,915.0,14940.0,35.46,7.48,1.53,2.33,,35.57,55.77,3.76,1.62,8.53,1.12,,69.199997
IESC,877.0,-0.67,,21.0,12.0,98.0,-6.19,-3.34,15.69,0.52,52.23,61.3,34.78,38.37,35.07,1.6,0.13,,17.92
IFMK,137.0,-0.06,,14.0,-3.0,-3.0,-13.46,-1.74,,2.84,11.17,9.05,47.32,10.4,10.08,0.87,2.94,,2.23
IFRX,,,,9.0,,,-51.71,-31.53,-9.87,,96.15,,,,,26.01,,,32.200001
IGIC,,,,,,,,,,,,,,,,,,,
IGMS,,-2.25,,10.0,-20.0,-6.0,,-846.0,,,,,,,,0.27,,,22.905001
IHRT,6171.0,-4.68,,85.0,-504.0,-14287.0,,-3.14,0.51,4.73,-93.06,84.96,23.0,110.54,3.22,0.13,,,
III,276.0,0.12,,46.0,19.0,58.0,7.99,2.58,1.91,1.45,36.6,70.37,17.85,,46.48,2.42,1.14,,3.11
