Company,Revenue USD Mil,Earnings Per Share USD,Dividends USD,Shares Mil,Operating Cash Flow USD Mil,Working Capital USD Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
CDMO,54.0,-0.56,,47.0,-27.0,30.0,-48.48,-24.78,-760.59,5.63,58.21,36.8,24.81,2.3,2.14,1.79,,,4.25
CDMOP,54.0,,,,-27.0,30.0,-48.48,-24.78,-760.59,5.63,58.21,36.8,24.81,2.3,2.14,1.79,,,25.450001
CDNA,77.0,-1.31,,36.0,-4.0,62.0,-104.14,-43.64,,9.45,73.4,30.39,44.82,6.3,24.66,4.16,,18.96,27.209999
CDNS,2138.0,1.23,,281.0,605.0,242.0,30.36,14.15,17.27,2.88,52.19,24.2,7.27,8.43,8.48,1.34,0.27,41.38,66.08000200000001
CDTX,,-2.76,,25.0,-57.0,57.0,-116.66,-87.7,,,74.75,,,,,3.88,,,2.25
CDW,16241.0,4.19,0.93,153.0,905.0,994.0,65.68,9.1,,0.53,13.61,56.09,39.04,29.95,102.4,1.35,3.26,,111.0
CDXC,32.0,-0.61,,55.0,-21.0,22.0,-82.25,-63.49,,4.6,64.35,56.08,156.18,2.21,9.77,2.53,0.01,17.36,3.94
CDXS,61.0,-0.21,,52.0,-14.0,50.0,-26.91,-16.37,,4.57,71.02,70.33,28.25,52.43,16.0,3.77,,,18.1
CDZI,,-1.09,,24.0,-12.0,9.0,,-38.69,-0.57,392.27,-124.43,30.69,,,0.01,3.14,,,10.82
CECE,337.0,-0.21,,35.0,22.0,57.0,-3.9,-1.71,1.35,0.92,45.48,10.22,78.71,10.81,14.8,1.55,0.41,,7.62
CELC,,-0.74,,10.0,-6.0,25.0,-26.37,-25.8,,,97.38,,,,,38.07,,,21.91
CELH,53.0,-0.23,,50.0,-12.0,20.0,-78.89,-36.99,-58.34,0.21,34.09,67.15,51.08,3.76,570.25,2.32,0.67,,4.1
CEMI,33.0,-0.54,,14.0,-12.0,22.0,-33.9,-27.35,,4.39,81.46,51.67,43.59,3.49,13.97,4.36,0.01,25.52,6.05
CENT,2215.0,2.32,,53.0,114.0,1004.0,15.56,7.69,4.25,1.71,49.95,42.32,25.31,3.8,11.12,5.72,0.73,,30.379998999999998
CENTA,2215.0,2.32,,53.0,114.0,1004.0,15.56,7.69,4.25,1.71,49.95,42.32,25.31,3.8,11.12,5.72,0.73,,27.73
CENX,1893.0,-0.76,,87.0,-69.0,282.0,-8.32,-4.24,-2.15,4.38,49.57,12.1,19.94,5.8,1.95,2.25,0.33,,7.19
CERC,18.0,-1.2,,35.0,-3.0,-4.0,-171.07,-73.58,,3.08,29.76,63.83,66.99,10.02,58.08,0.84,0.69,31.57,4.88
CERN,5366.0,1.89,,334.0,1454.0,1356.0,12.97,9.56,101.27,14.11,73.46,74.91,99.79,45.97,3.21,2.41,0.08,12.74,68.16999799999999
CERS,76.0,-0.44,,132.0,-31.0,94.0,-93.25,-43.99,-13.31,1.5,51.71,50.79,170.59,2.26,14.84,2.79,0.26,55.97,5.37
CETV,704.0,0.42,,258.0,111.0,234.0,92.57,6.63,3.8,3.49,15.39,91.33,45.91,,6.36,2.67,3.42,,4.36
CETX,90.0,-7.23,,1.0,-3.0,10.0,-27.35,-14.77,-7.51,13.57,52.4,60.01,43.67,4.09,3.79,1.46,0.23,6.18,4.0
CETXP,90.0,,,,-3.0,10.0,-27.35,-14.77,-7.51,13.57,52.4,60.01,43.67,4.09,3.79,1.46,0.23,6.18,1.2285709999999999
CEVA,78.0,0.03,,23.0,9.0,156.0,0.23,0.21,,6.78,88.68,99.95,23.5,,10.91,8.15,,61.32,26.959999
CFB,117.0,0.34,,51.0,46.0,,5.04,0.55,,36.73,11.94,,,,2.09,,0.64,,14.305
CFBI,15.0,0.06,,8.0,2.0,,0.59,0.15,,8.79,24.96,,,,1.68,,0.1,,10.29
CFBK,21.0,1.0,,4.0,-12.0,,10.1,0.76,,2.97,6.85,,,,5.57,,0.75,,12.6
CFFA,,0.01,,32.0,,-2.0,0.14,0.14,,,98.97,,,,,0.19,,,10.03
