Company,Revenue EUR Mil,Earnings Per Share EUR,Dividends EUR,Shares Mil,Operating Cash Flow EUR Mil,Working Capital EUR Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
AGA,7.0,-0.04,0,,,2.0,36.66,8.65,,11.43,35.6,107.85,143.84,38.03,0.63,1.22,0.85,,0.24
AGS,11901.0,3.09,2.1,202.0,-726.0,,6.5,0.6,13.25,0.85,9.35,,,,10.1,,0.32,,43.130001
AD,62791.0,1.49,0.63,1203.0,4323.0,-1179.0,11.96,5.34,7.53,,44.45,5.88,44.16,14.61,5.75,0.88,0.34,,22.190001000000002
AI,21011.0,4.47,2.41,473.0,4716.0,-666.0,12.39,5.09,9.77,10.7,42.79,46.91,113.8,5.92,1.11,0.91,0.66,,111.726997
AIR,63707.0,3.92,1.5,781.0,2318.0,-2140.0,26.47,2.67,10.74,3.59,8.44,41.35,98.63,1.73,3.82,0.96,0.77,5.05,121.480003
ARN,52.0,0.12,0.04,43.0,31.0,9.0,4.55,1.36,1.61,1.01,31.09,20.86,1187.84,,0.26,1.15,1.41,,3.0
ABTG,9.0,0.08,0,,1.0,2.0,13.04,9.19,7.14,23.15,77.2,40.19,25.54,,2.58,2.65,0.05,,4.39
ALK,45.0,0.26,0,5.0,2.0,28.0,5.27,2.86,30.92,6.55,60.96,130.5,121.06,113.55,72.13,2.59,0.06,,11.76
ALV,102979.0,17.3,8.0,430.0,25672.0,,11.77,0.83,11.05,1.37,6.84,,,,10.66,,0.53,,210.44999700000002
GOOGL,,,0,703.0,,,18.62,14.29,307.25,19.46,76.3,52.25,23.03,64.17,2.68,3.92,0.02,15.65,1070.0
ATH,59.0,-0.03,0,88.0,-1.0,-7.0,-6.21,-2.61,-4.88,0.81,42.56,200.94,273.65,4173.52,3.15,0.84,,,0.374
AMB,4.0,0.08,0,2.0,1.0,1.0,7.12,4.46,12.47,0.06,67.23,66.06,81.04,,29.52,1.63,0.02,,3.86
AMGN,,,0,665.0,,,44.48,11.47,7.86,3.11,18.82,52.39,113.88,1.42,4.77,2.79,2.36,15.74,167.0
AMM,,,0,,,,,,,,,,,,,,,,
AMP,1362.0,0.45,0.11,224.0,181.0,-72.0,16.97,5.45,11.08,5.72,26.83,40.49,63.95,17.96,8.21,0.85,1.47,,20.559998999999998
ABI,,,0,2011.0,,,6.37,1.83,3.03,9.31,28.7,30.62,275.66,5.01,2.06,0.53,1.64,,73.91999799999999
