Company,Revenue EUR Mil,Earnings Per Share EUR,Dividends EUR,Shares Mil,Operating Cash Flow EUR Mil,Working Capital EUR Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
ETH,61.0,-0.14,0,34.0,-1.0,14.0,-4.81,-3.47,-10.58,4.03,71.28,93.59,120.76,2.17,22.41,1.48,0.02,,2.375
EVK,15024.0,2.0,1.15,466.0,1704.0,2239.0,12.29,4.63,6.72,6.87,38.29,42.05,51.63,4.8,2.26,1.67,0.48,3.06,24.59
EXO,142413.0,5.87,0.35,237.0,13390.0,10304.0,12.78,0.82,4.88,7.09,7.54,15.19,85.76,6.0,3.74,1.17,2.6,3.33,56.279999
EXSY,26.0,-0.23,0,36.0,-3.0,26.0,-46.7,-14.64,-18.11,22.4,34.12,157.93,152.77,16.19,30.63,2.62,0.76,,1.24
XPR,157.0,,0,45.0,9.0,-3.0,-0.03,-0.01,1.76,2.38,15.1,241.38,252.62,2.54,7.1,0.99,1.87,,1.242
FB,,,0,2921.0,,,27.9,24.32,,24.92,86.43,43.86,23.41,,2.91,7.19,,18.4,167.0
FKR,336.0,0.15,0.05,291.0,131.0,186.0,9.3,2.76,2.8,15.28,32.23,109.74,90.17,34.39,0.32,2.04,1.32,,3.692
FAR,13.0,0.03,0,6.0,1.0,,,3.26,,,-3.33,3.6,149.1,3.16,88.0,0.93,,,
RACE,3420.0,4.14,0.71,189.0,934.0,1735.0,73.77,17.45,,18.66,27.83,24.05,141.83,4.14,4.38,3.34,1.43,18.8,141.550003
FVI,23.0,0.7,0,3.0,2.0,11.0,15.5,7.78,74.33,1.47,57.14,67.93,70.25,1.87,7.5,2.29,0.19,,12.590900000000001
FCA,110412.0,2.3,0,1568.0,9948.0,-8182.0,15.85,3.74,5.29,4.88,25.55,7.45,79.44,8.05,3.99,0.82,0.35,2.76,12.982
FDA,48.0,-0.6,0.2,5.0,6.0,13.0,-21.68,-5.2,-8.74,5.08,19.82,110.69,214.91,0.92,4.42,1.4,0.99,0.35,6.82
FM,271.0,0.02,0,71.0,36.0,-72.0,2.65,0.7,5.8,1.59,28.21,47.04,81.46,5370.0,19.19,0.5,0.06,,3.33
FILA,510.0,0.38,0.09,41.0,24.0,152.0,7.34,2.32,4.41,4.68,33.0,79.17,112.07,1.2,6.02,1.73,0.83,,16.7472
FCT,4914.0,0.03,0,1697.0,547.0,-172.0,4.92,0.95,2.03,3.31,19.56,75.46,148.82,8.93,4.66,0.96,0.22,,1.289
FF,,-0.02,0,10.0,,101.0,-0.18,-0.18,,,99.84,,2034.98,,,639.68,,,10.0
FBK,666.0,0.35,0.28,609.0,2326.0,,30.3,0.99,,1.81,3.28,,,,53.37,,0.04,,9.672
FNL,21.0,0.25,0,7.0,1.0,14.0,18.5,9.26,51.13,4.03,58.16,114.47,66.04,6.45,10.35,4.09,0.27,,5.3
FIC,8.0,2.05,0.4,3.0,6.0,14.0,15.48,12.46,,0.1,85.98,261.03,17.25,,318.11,35.38,,,9.82222
FNM,176.0,0.08,0.02,435.0,48.0,-3.0,9.16,4.49,,53.71,47.83,107.45,331.95,15.02,0.47,0.99,0.22,,0.605
FPE,28.0,0.49,0,5.0,3.0,11.0,21.66,10.35,35.93,18.76,49.35,99.41,58.4,4.84,6.72,2.55,0.23,,6.55
FOS,7.0,0.07,0,7.0,,2.0,31.0,5.49,5.5,,17.72,104.08,70.51,15.92,39.6,1.48,0.7,,
FDE,2.0,-0.02,0,59.0,1.0,2.0,-5.37,-3.13,-1.5,138.76,61.23,64.64,384.62,,0.1,1.42,0.27,,0.36
FRE,33530.0,3.63,0.75,557.0,3742.0,1515.0,13.94,3.69,5.95,6.41,32.72,70.88,28.13,7.32,3.37,1.11,0.91,2.01,47.115002000000004
FME,16547.0,6.45,1.06,307.0,2062.0,1579.0,18.37,7.89,7.1,6.39,46.85,80.09,19.73,8.26,4.52,1.25,0.43,0.81,67.199997
FCM,,,0,8.0,,,1.12,0.28,,1.7,24.75,117.54,150.69,5.26,6.13,0.84,0.57,,
FUL,22.0,-0.22,0,11.0,-2.0,-3.0,-43.74,-8.63,-5.1,2.81,19.43,161.12,237.15,6.2,7.63,0.8,0.41,,1.02
VALU,,,0,,,,,,,,,,,,,,,,9.601
GAB,38.0,-0.04,0,63.0,,21.0,-14.89,-3.74,-18.06,0.68,24.49,220.7,,,66.27,2.25,1.26,,0.308
GAMB,16.0,0.11,0,10.0,5.0,-4.0,11.81,3.62,,18.19,32.36,202.34,244.72,8.57,11.16,0.75,0.06,,0.98
GHC,152.0,0.2,0,60.0,30.0,12.0,15.32,6.81,17.73,0.34,45.44,89.36,82.03,31.1,1.77,1.22,0.36,,3.645
GSP,79.0,0.02,0,44.0,11.0,-4.0,0.36,0.14,1.6,12.74,40.52,99.42,229.14,8.6,0.74,0.94,0.19,,2.38
GEDI,634.0,-0.28,0,499.0,-120.0,6.0,-21.36,-10.83,3.4,2.07,46.41,110.23,104.34,31.59,7.26,1.02,0.17,,0.381
GE,127.0,0.47,0.25,14.0,21.0,29.0,10.03,4.9,20.15,4.43,49.75,86.09,100.32,3.1,3.52,1.56,0.2,,7.56
GEL,16.0,0.12,0,7.0,,5.0,19.17,4.09,4.33,5.44,31.89,138.51,86.41,4.84,10.07,1.45,0.67,,2.16
G,70163.0,1.45,0.85,1588.0,14992.0,,9.49,0.44,4.42,0.51,4.58,,,,17.89,,1.16,,16.559998999999998
GEO,885.0,0.06,0.02,259.0,99.0,217.0,4.34,2.22,3.54,3.49,52.16,47.82,149.24,1.47,13.88,1.75,0.04,,2.42
GEQ,,-0.01,0,107.0,-1.0,-2.0,-343.91,-20.28,,,-1.48,238.21,346.37,,0.09,0.16,,,0.04
GG,79.0,,0,16.0,5.0,-4.0,0.3,0.07,1.17,10.84,21.57,89.27,130.25,14.33,11.43,0.93,0.55,,4.0
GILD,,,0,1308.0,,,26.08,8.14,8.24,4.18,33.67,59.2,60.32,6.01,6.06,3.38,1.15,22.68,58.0
FED,67.0,-2.11,0.35,2.0,2.0,16.0,-23.21,-6.89,-16.34,3.4,25.82,63.32,202.95,1.8,6.72,1.58,0.74,,9.1
GIS,2.0,0.01,0,4.0,,,5.62,0.71,2.71,,12.68,133.66,765.23,0.56,721.58,1.15,,,
GO,6.0,-0.01,0,12.0,,-2.0,-3.05,-1.2,-0.09,71.68,37.44,104.56,555.09,,0.33,0.67,0.45,,1.2491700000000001
GPI,179.0,0.48,0.3,16.0,-10.0,57.0,12.74,3.36,4.5,3.05,24.58,54.53,414.6,12.67,12.49,1.57,0.99,,9.74
GRAL,16.0,,0,12.0,,,18.66,2.6,,,15.27,120.77,137.09,6.1,4.15,0.97,1.24,,6.288
GGP,17.0,-0.71,0,3.0,,,-89.87,-16.48,-15.0,,10.15,36.3,127.51,5.85,9.04,0.99,0.55,,2.06
GCL,,-0.13,0,51.0,,495.0,-1.33,-1.29,-0.01,,96.67,,,,,30.06,,,9.84
FARM,41.0,-0.07,0,88.0,6.0,-1.0,-21.48,-11.11,,24.55,40.12,,66.91,216.54,33.74,0.95,0.24,,0.744
HI,18.0,,0,12.0,,6.0,15.45,9.18,42.02,5.05,60.07,160.08,137.33,,94.48,1.71,,,4.33663
HEI,18074.0,5.76,1.9,198.0,1968.0,1226.0,7.62,3.25,6.11,5.87,44.87,36.41,120.5,3.81,1.4,1.2,0.61,,66.18
HEN3,19899.0,5.32,1.79,434.0,2698.0,-199.0,14.18,7.98,39.14,4.21,57.59,65.61,126.22,5.05,6.5,0.98,0.09,2.43,90.760002
HER,5671.0,0.17,0.09,1471.0,754.0,235.0,10.13,2.95,4.72,7.77,29.5,88.54,165.7,26.03,2.81,1.09,1.13,,2.702
IGV,63.0,0.03,0.02,48.0,7.0,17.0,1.76,1.12,10.59,1.49,63.79,20.55,68.86,102.93,0.95,1.73,0.09,,1.57
IMA,1500.0,2.65,1.7,39.0,121.0,161.0,27.15,6.57,20.56,4.1,24.27,63.22,378.13,1.68,14.5,1.21,0.71,,64.199997
ICF,,,0,,,,,,,,,,,,,,,,8.9
IE,,-0.05,0,33.0,1.0,-1.0,,-76.99,,,-3.76,,1275.11,,,0.32,,,
IGD,163.0,0.46,0.5,101.0,81.0,-198.0,3.92,1.96,2.87,12.48,50.86,31.9,140.58,1.08,3.36,0.22,0.7,,6.15
S24,230.0,0.12,0,63.0,-16.0,-32.0,50.43,2.89,-7.46,1.63,16.42,132.49,285.45,36.37,10.15,0.79,0.14,,0.644
ILLA,40.0,0.02,0,8.0,1.0,6.0,3.4,0.44,1.88,3.82,18.64,46.34,110.64,3.12,4.47,1.34,1.18,,2.04
ILTY,,,0,,,,,,,,,,,,,,,,
ILP,27.0,0.17,0,12.0,1.0,,51.24,,8.85,4.03,100.0,,156.31,1.87,4.49,,,,
IMS,1455.0,0.02,0,341.0,141.0,-353.0,3.6,0.39,1.78,6.04,11.71,28.09,157.44,3.61,4.52,0.65,2.57,,0.502
YIV,2.0,0.01,0,,-1.0,1.0,2.17,0.7,1.47,,59.18,357.76,388.21,0.76,0.1,1.2,0.07,,2.46
INDB,116.0,2.6,0,5.0,7.0,42.0,25.26,13.15,14.81,2.36,54.08,75.78,88.83,2.89,6.23,2.05,0.27,,33.0
IFX,7599.0,0.95,0.25,1134.0,1575.0,3241.0,17.8,10.32,21.75,16.5,59.25,43.76,85.21,3.47,2.67,2.49,0.23,11.0,17.35
INGA,18304.0,1.22,0.67,3890.0,6915.0,,9.77,0.55,,1.56,5.55,,,,10.58,,2.72,,10.246
IB,11.0,0.22,0.6,4.0,7.0,-26.0,1.96,0.7,2.99,40.53,32.11,60.4,462.49,,0.16,0.28,1.15,,20.200001
INC,41.0,0.02,0,151.0,6.0,-7.0,,5.51,238.08,,-33.88,134.56,274.9,9.73,3.04,0.82,,,0.032
IKG,45.0,0.09,0,395.0,30.0,63.0,7.64,5.86,7.13,0.55,77.09,59.43,641.63,,3.93,3.46,0.22,,0.314
IKGR,45.0,0.09,0,395.0,30.0,63.0,7.64,5.86,7.13,0.55,77.09,59.43,641.63,,3.93,3.46,0.22,,0.422
INTC,,,0,4701.0,,,29.07,16.76,50.82,21.43,58.6,31.76,45.45,3.81,1.57,1.73,0.33,19.12,45.599998
IP,1279.0,1.6,0.21,108.0,149.0,344.0,21.31,10.91,66.25,5.3,52.47,72.35,72.69,2.45,3.78,1.77,0.27,,28.120001000000002
ISP,29087.0,0.24,0.2,16772.0,5623.0,,7.35,0.51,,6.57,6.86,,,,4.5,,1.89,,2.169
ITD,14.0,0.18,0,14.0,4.0,-5.0,31.05,6.49,,38.22,22.07,85.79,242.62,,1.1,0.56,0.35,,2.9697500000000003
INW,357.0,0.21,0.14,600.0,114.0,1.0,8.43,7.07,119.99,10.02,84.09,47.67,164.0,,1.72,1.01,0.04,,6.365
IRC,357.0,0.17,0.03,27.0,-12.0,95.0,3.47,2.02,11.59,2.66,55.31,84.52,32.29,3.63,6.35,2.09,0.09,,2.6
IRE,3687.0,0.19,0.06,1276.0,660.0,536.0,11.65,3.03,5.02,9.69,28.22,90.65,126.97,30.72,1.07,1.39,1.38,,2.19
ISG,150.0,0.01,0,39.0,16.0,60.0,0.21,0.1,2.47,6.56,45.01,116.03,107.91,2.31,6.93,1.84,0.46,,1.564
ISGS,150.0,0.01,0,39.0,16.0,60.0,0.21,0.1,2.47,6.56,45.01,116.03,107.91,2.31,6.93,1.84,0.46,,1.2
ITW,41.0,-0.26,0,7.0,-3.0,-3.0,-20.78,-2.87,,,17.9,296.95,210.51,38.98,10.1,0.9,0.28,,1.055
IG,1601.0,0.36,0.2,809.0,547.0,60.0,26.04,5.11,14.4,30.81,20.29,93.99,106.58,22.13,7.09,1.1,3.05,,4.727
IIG,20.0,-1.82,0,5.0,-6.0,10.0,-179.41,-23.54,,4.74,1.07,226.55,287.58,0.66,8.73,1.52,34.35,,3.92
IEG,131.0,0.29,0,31.0,25.0,-35.0,8.53,3.6,19.06,17.64,41.53,67.26,159.27,440.27,0.78,0.57,0.49,,
IWB,150.0,1.06,0.2,,11.0,17.0,8.53,3.79,8.71,0.68,45.56,56.31,130.6,6.75,10.06,1.28,0.3,,12.85
ITM,473.0,0.66,0.55,42.0,17.0,362.0,2.15,1.61,1.54,0.28,72.12,59.46,88.0,6.01,3.39,2.82,0.09,,20.200001
IVS,434.0,0.63,0.28,37.0,49.0,-10.0,7.72,2.87,3.4,11.78,37.5,22.96,172.4,4.34,2.34,0.95,0.92,,10.15
JUVE,505.0,-0.02,0,1094.0,-8.0,-159.0,-23.19,-2.37,-0.56,48.9,9.32,23.84,41.19,60.88,3.09,0.49,3.84,,1.1290799999999999
SDF,4039.0,0.22,0.35,191.0,308.0,721.0,1.01,0.43,1.44,12.74,41.57,70.11,34.67,4.02,0.6,1.56,0.66,0.39,15.355
KER,13665.0,29.49,6.0,126.0,3778.0,660.0,34.0,15.83,42.74,6.06,46.7,29.59,104.57,1.36,6.08,1.1,0.32,,479.799988
KI,47.0,-0.45,0,6.0,1.0,-4.0,,-12.29,-9.83,2.07,-26.97,75.11,89.77,8.49,27.82,0.81,,,2.0912900000000003
KIP,4.0,-0.05,0,1.0,,-1.0,-9.49,-1.26,0.42,30.38,20.45,96.16,382.56,7.91,111.42,0.77,0.78,,6.86
OR,26937.0,6.92,3.55,563.0,5291.0,2354.0,15.06,10.56,122.4,5.26,70.03,53.57,216.33,2.76,7.49,1.23,,3.39,244.600006
LD,670.0,0.98,0.18,31.0,34.0,184.0,13.96,5.4,16.94,2.68,39.51,57.33,69.92,2.87,4.56,1.85,0.43,,11.32
LR,206.0,0.04,0,113.0,9.0,25.0,8.05,2.04,2.01,2.5,29.45,58.98,116.69,3.6,9.15,1.36,0.98,,1.348
LDO,12240.0,0.89,0.14,575.0,687.0,-1312.0,11.35,2.01,3.57,4.71,17.64,91.29,140.35,2.25,5.56,0.91,0.76,,10.41
LFG,85.0,0.28,0.09,14.0,27.0,-12.0,11.35,3.21,3.15,40.41,26.34,125.19,321.56,,267.13,0.83,0.75,,4.7
LCC,,,0,,,,,,,,,,,,,,,,9.6355
LON,29.0,0.09,0,6.0,2.0,1.0,79.06,5.5,,2.96,4.68,85.4,70.29,19.53,18.6,1.08,2.29,,4.795999999999999
LMG,28.0,0.26,0.05,15.0,6.0,24.0,12.59,4.24,5.81,66.41,34.8,234.66,211.55,124.87,1.16,2.07,1.07,,2.2
LUVE,270.0,0.26,0.22,22.0,19.0,96.0,4.17,1.46,6.82,9.0,34.72,62.97,149.17,4.14,2.52,1.77,0.82,,10.05
LVEN,2.0,-0.02,0,30.0,,1.0,-13.9,-11.61,-47.41,7.01,83.4,105.03,122.73,,5.69,1.89,0.11,,0.613438
LVMH,46803.0,12.61,5.4,504.0,8627.0,6718.0,20.78,8.9,61.06,6.71,44.46,23.24,115.09,1.34,3.47,1.4,0.18,,363.299988
MAIL,27.0,0.04,0,13.0,2.0,1.0,5.28,1.91,27.86,7.43,43.18,46.98,86.88,2808.21,31.76,1.06,0.13,7.49,2.36
MT,3634.0,0.34,0.13,329.0,-24.0,373.0,38.69,3.09,8.45,0.35,8.33,45.56,173.35,557.82,107.46,1.13,1.32,,2.582
MAPS,12.0,0.12,0,9.0,,3.0,43.3,12.75,32.17,,29.45,109.05,92.35,2.83,59.2,2.11,0.3,,
MARR,1624.0,0.98,0.7,67.0,67.0,261.0,22.19,6.8,16.1,0.37,30.76,82.66,91.41,8.83,22.9,1.55,0.64,,22.58
MARP,39.0,0.3,0,7.0,4.0,4.0,16.55,4.82,,13.44,29.63,73.38,106.95,2.63,1.84,1.26,0.92,,
MASI,64.0,0.2,0.09,32.0,5.0,41.0,5.96,4.61,26.57,5.78,78.53,87.88,150.27,0.68,1.19,3.67,0.12,,4.28
MZB,956.0,0.52,0.15,34.0,72.0,105.0,5.91,2.27,4.72,3.83,37.52,47.62,85.43,4.28,4.42,1.41,0.68,,7.02
MFT,,,0,,,,,,,,,,,,,,,,
MS,3401.0,0.41,0,1138.0,1242.0,144.0,21.77,8.54,3.46,18.17,50.17,108.87,171.34,49.22,10.81,1.1,0.31,,2.744
MB,2278.0,0.98,0.37,883.0,381.0,,9.21,1.21,,1.3,13.36,,,,10.43,,2.59,,8.272
MRK,14836.0,7.76,1.25,435.0,2219.0,719.0,21.63,9.31,5.31,6.85,46.67,72.01,91.08,1.99,3.18,1.08,0.38,15.0,94.959999
MU,,,0,1229.0,,,55.52,35.92,42.83,29.22,75.98,51.32,44.16,3.72,1.41,2.79,0.12,7.04,35.400002
MSFT,,,0,7794.0,,,21.37,6.63,14.35,10.54,31.96,76.52,76.17,15.84,3.68,2.9,0.94,13.34,97.5
MIT,8.0,-0.05,0,89.0,-17.0,155.0,-1.68,-0.87,-0.89,41.94,55.54,117.63,76.85,0.19,3.5,2.73,0.39,,1.5141
MLM,23.0,-0.02,0,437.0,-10.0,13.0,-36.33,-18.89,,8.51,57.17,52.32,200.46,11.49,1.96,1.98,,,0.473
MONC,1194.0,0.98,0.18,255.0,314.0,415.0,30.7,19.72,177.77,6.16,66.92,34.49,198.1,2.03,9.11,2.4,0.07,,30.9
MN,1268.0,0.12,0,261.0,88.0,33.0,10.09,2.2,4.62,1.15,24.16,86.07,127.8,6.93,46.59,1.06,0.72,,1.526
MTV,33.0,0.43,0,30.0,9.0,31.0,19.34,14.54,80.43,58.85,76.4,440.19,3699.27,,94.47,2.37,0.01,,4.315
MTF,,-0.01,0,107.0,,,-50.0,-26.07,,397.64,37.21,3684.31,130.19,,3.44,0.99,,,0.0714
MSU,,,0,10.0,,,43.14,4.78,12.04,2.87,14.36,948.99,2484.08,,331.99,1.08,,,0.93
MNL,47.0,0.43,0,5.0,-1.0,24.0,7.94,4.2,,10.01,51.35,84.05,109.04,2.14,3.28,2.82,0.43,,11.775
MON,157.0,-0.02,0,150.0,3.0,-70.0,-26.86,-1.81,0.72,0.25,6.49,75.9,334.4,10.26,1.6,0.41,2.14,,0.1955
MUV2,51439.0,15.53,8.6,149.0,2998.0,,8.5,0.86,11.15,,9.76,,,,6.47,,0.18,,219.0
MOL,153.0,0.66,0.23,39.0,34.0,60.0,35.32,14.55,282.85,2.05,42.58,102.43,155.45,121.1,10.89,1.89,0.32,,14.24
NDT,132.0,0.45,0.15,13.0,16.0,10.0,10.71,3.84,4.2,5.87,36.97,70.9,159.27,2.25,1.76,1.16,0.47,,3.76
NSP,4.0,0.01,0,7.0,,,2.28,0.8,,,35.31,255.1,141.63,114.85,56.4,0.91,0.44,,
NET,33.0,-2.55,0,7.0,-28.0,,15.9,1.28,7.29,,9.19,,,,2.0,,,,4.44
NFLX,,,0,451.0,,,27.46,5.38,3.92,1.35,20.17,,16.89,,42.82,1.49,1.98,7.74,295.5
NTW,29.0,-0.01,0,110.0,-1.0,-4.0,-37.88,-5.07,-13.35,4.3,11.02,146.21,163.38,75.42,6.41,0.8,0.59,,0.288021
NRST,10.0,-0.03,0,26.0,3.0,5.0,-8.76,-6.06,-19.64,32.1,66.66,137.15,41.5,14.5,19.15,3.42,0.09,,2.1
NWL,304.0,0.1,0,44.0,27.0,43.0,4.55,1.39,4.84,2.33,27.86,61.16,123.57,10.05,2.36,1.33,0.2,,
NEXI,1417.0,0.12,0,632.0,696.0,3473.0,2.57,1.23,4.15,5.8,45.98,771.49,25.9,,10.63,53.58,0.86,,
NOKIA,22563.0,-0.06,0.19,5588.0,360.0,4167.0,-2.16,-0.84,-0.28,2.98,38.77,94.93,113.36,4.86,12.39,1.3,0.18,20.48,4.65
NPI,18.0,0.07,0.05,22.0,11.0,12.0,7.08,4.47,,39.64,62.93,292.47,1250.44,11.77,197.25,2.71,,,1.82
NR,3.0,0.1,0,10.0,-2.0,14.0,3.07,1.34,1.43,0.37,44.47,125.92,601.06,,,4.69,1.18,,4.472
NVDA,,,0,625.0,,,49.26,33.76,68.17,5.12,70.28,41.89,44.45,3.83,9.76,7.94,0.21,20.28,157.720001
NVP,4.0,0.02,0,8.0,1.0,,42.28,2.95,4.22,34.0,6.97,169.19,646.81,,1.39,1.22,7.64,,
OS,2.0,,0,6.0,,,2.43,0.74,,,24.88,48.67,153.59,0.52,4.02,1.14,0.15,,
OJM,584.0,0.89,0,14.0,8.0,24.0,14.9,5.93,20.24,0.18,41.24,71.1,5.1,,265.65,1.22,0.15,,9.9
ORA,41096.0,0.59,0.65,2712.0,10174.0,-8357.0,5.36,1.73,3.51,18.42,33.05,45.03,125.78,22.45,1.56,0.71,0.86,,14.23
ORS,819.0,0.8,0,16.0,14.0,78.0,12.16,3.56,7.78,5.66,34.88,43.1,43.58,26.06,8.78,1.45,0.53,,7.56
OVS,1571.0,0.02,0.15,227.0,76.0,50.0,0.6,0.26,1.77,4.42,42.28,21.87,200.62,1.93,5.78,1.08,0.44,,2.792
PAN,396.0,0.25,0.07,45.0,23.0,113.0,6.61,2.63,18.84,8.67,39.7,73.21,125.1,1.75,3.23,1.82,0.59,,2.905
PTR,30.0,0.07,0,14.0,-2.0,7.0,31.37,8.89,,,24.27,54.43,58.96,9.33,59.24,2.12,1.1,,
PHN,38.0,0.62,0,10.0,6.0,17.0,46.83,23.02,112.01,2.47,57.17,90.91,64.7,17.17,35.05,2.74,0.16,,14.4
PHIA,18121.0,1.16,0.8,936.0,1780.0,1629.0,9.05,4.25,9.3,4.65,46.51,77.69,83.79,3.81,10.98,1.21,0.28,9.71,38.049999
PIA,1390.0,0.1,0.06,358.0,148.0,-79.0,9.28,2.33,3.17,8.3,24.73,22.4,145.23,4.8,5.15,0.87,1.12,,2.584
PRL,17.0,-0.05,0,54.0,-1.0,-2.0,,-8.91,0.33,6.37,8.59,62.78,208.97,3.45,1.69,0.81,4.76,,0.17715999999999998
PINF,80.0,0.02,0,54.0,7.0,35.0,2.94,1.15,2.05,3.32,46.7,70.55,318.42,62.94,1.9,1.93,0.41,,2.26
PVN,212.0,0.38,0,51.0,24.0,29.0,67.34,13.19,70.65,3.79,19.74,90.55,91.76,5.7,8.32,1.3,0.62,,8.3
PQ,98.0,0.1,0.04,50.0,8.0,35.0,12.25,5.09,22.62,1.73,40.71,103.5,116.99,3.22,8.2,1.83,0.27,,1.855
PIRC,5352.0,0.2,0,853.0,1138.0,-858.0,4.87,1.3,2.15,9.14,32.48,45.41,234.9,2.47,1.64,0.79,0.95,,7.204
PITE,16.0,0.19,0.15,18.0,4.0,4.0,10.93,7.16,6.73,60.19,61.21,91.21,18.26,63.88,11.49,1.64,0.31,,4.62
PLC,33.0,6.5,0,1.0,23.0,5.0,31.05,10.19,14.48,6.7,40.35,148.82,232.02,2.36,,1.22,0.06,,2.145
PSF,49.0,0.81,0,1.0,1.0,5.0,11.82,2.66,13.7,5.26,22.46,121.67,185.05,9.77,9.5,1.25,0.67,,6.2
POL,136.0,-0.02,0,126.0,4.0,-15.0,-10.23,-1.86,2.41,1.11,18.42,101.45,313.43,10.18,2.41,0.81,0.61,,0.209
POPR,26.0,-0.04,0,30.0,5.0,5.0,-5.17,-2.95,40.59,3.68,67.56,102.96,458.24,5.88,0.99,1.56,0.02,,0.614
PSA,6.0,,0,2.0,,1.0,0.65,0.28,1.45,12.83,53.91,15.44,19.07,,130.85,1.89,0.29,,2.98
PST,29486.0,1.07,0.42,1306.0,2597.0,-34241.0,17.87,0.68,21.41,1.82,3.88,26.11,19.48,199.39,14.94,0.47,0.7,,9.51
PWS,29.0,0.21,0,11.0,2.0,13.0,15.85,9.34,9.13,,58.91,63.92,104.4,2.84,37.48,2.55,0.02,,
PRI,450.0,1.77,0.3,10.0,32.0,63.0,12.97,3.78,4.22,2.88,28.83,82.02,106.74,3.21,12.68,1.25,0.67,2.8,34.75
PRM,14.0,-0.49,0,7.0,-10.0,,-187.67,-10.96,-0.82,10.61,6.83,270.26,108.68,1237.37,77.68,0.96,7.03,,2.3
PSM,4008.0,1.06,1.93,229.0,1459.0,574.0,24.91,3.8,5.47,30.71,12.42,46.9,77.5,63.43,15.07,1.4,4.28,,13.94
PRY,10158.0,0.24,0.42,245.0,462.0,1111.0,6.94,1.54,4.25,2.81,22.68,49.69,105.14,5.37,4.75,1.3,1.4,,18.67
RAD,58.0,0.13,0,9.0,,-3.0,4.87,1.46,2.05,,29.96,72.06,122.57,2.12,1.68,0.93,0.12,,
RWAY,216.0,0.21,0.15,272.0,71.0,37.0,33.3,15.99,58.92,7.53,52.39,117.3,275.25,57.71,1.1,1.38,0.17,,4.575
RAT,99.0,0.22,0.1,27.0,9.0,37.0,13.65,5.61,20.35,3.81,41.5,85.52,192.98,1.87,3.19,1.96,0.39,,2.79
RCS,895.0,0.14,0,517.0,97.0,-133.0,53.42,7.16,8.47,2.13,17.89,92.78,152.02,29.63,11.14,0.7,1.39,,1.14
REC,1352.0,1.49,0.88,209.0,372.0,209.0,31.39,14.81,19.53,6.25,44.53,66.11,141.52,2.05,13.09,1.43,0.67,8.11,37.0
RLT,12.0,0.1,0,9.0,1.0,2.0,59.19,16.45,,3.2,27.8,71.29,83.77,,87.93,1.81,0.46,,
RNO,57419.0,12.13,3.55,272.0,6285.0,2174.0,9.61,2.94,12.19,7.68,31.07,268.74,77.99,7.44,4.12,1.03,0.17,4.52,53.849998
REN,5.0,0.02,0,7.0,,1.0,83.58,12.19,,1.63,15.89,92.62,52.68,,1.8,1.28,1.96,,1.54
RM,577.0,0.04,0,378.0,34.0,36.0,9.0,3.59,28.04,3.57,41.13,43.76,86.65,5.32,2.96,1.24,0.26,,0.762
REY,1036.0,2.67,0.35,37.0,120.0,236.0,22.54,10.26,114.74,2.9,45.15,139.45,77.7,2.55,31.39,1.52,0.05,,57.650002
RST,40.0,-0.01,0,32.0,6.0,6.0,3.17,1.77,2.43,174.13,53.29,178.56,184.06,0.65,15.83,1.06,0.56,,3.185
LIT,65.0,0.07,0,163.0,31.0,34.0,8.07,4.56,13.91,49.39,53.27,145.17,442.11,,0.5,1.52,0.1,,1.616
RN,1.0,-0.01,0,1928.0,-29.0,624.0,-16.16,-2.6,-1.23,3.46,14.96,423.96,564.29,0.02,0.03,3.37,3.12,,0.0302
YRM,171.0,-1.54,0.3,3.0,-10.0,188.0,-3.21,-1.58,-7.76,2.59,49.33,170.88,115.89,1.85,2.1,3.32,0.07,,38.400002
ROS,31.0,0.07,0,12.0,1.0,2.0,32.98,3.74,12.41,4.67,11.47,112.66,108.99,6.12,9.35,1.11,1.1,,0.924
RWE,13388.0,0.54,1.0,615.0,6648.0,15669.0,3.86,0.45,1.11,7.84,12.81,100.44,128.48,6.01,0.72,1.34,0.16,,23.85
SSL,127.0,0.54,0,68.0,24.0,-23.0,95.82,16.27,,20.81,22.65,14.07,42.18,31.32,3.21,0.77,0.4,,1.236
SAB,150.0,1.32,0.48,11.0,23.0,45.0,13.21,8.16,64.81,9.63,61.99,97.4,101.26,2.18,2.06,1.98,0.16,,17.139999
SG,231.0,0.62,0.55,22.0,38.0,44.0,9.99,5.3,24.22,3.31,51.09,57.5,55.73,2.97,4.49,1.62,0.24,6.97,21.4
SGR,231.0,0.62,0.57,22.0,38.0,44.0,9.99,5.3,24.22,3.31,51.09,57.5,55.73,2.97,4.49,1.62,0.24,6.97,16.5
SFL,1047.0,-2.48,0,101.0,-31.0,184.0,-35.78,-18.72,-27.86,3.84,45.95,72.54,156.89,1.99,5.43,1.44,0.27,,2.5766299999999998
SAF,16940.0,10.9,0.83,418.0,2726.0,3775.0,56.88,15.13,45.88,7.6,32.31,116.16,140.8,2.05,5.07,1.25,0.37,,101.5
SPM,9161.0,-0.33,0,1013.0,459.0,2256.0,-6.96,-2.44,-0.04,2.86,36.32,92.06,121.14,3.61,1.87,1.5,0.64,,3.806
